{x=1853,m=1718,a=852,s=421}
{x=1856,m=768,a=800,s=33}
{x=2847,m=1317,a=3464,s=932}
{x=2618,m=561,a=3141,s=132}
{x=148,m=476,a=2620,s=457}
{x=388,m=1384,a=860,s=100}
{x=1929,m=115,a=349,s=290}
{x=3086,m=2861,a=1622,s=48}
{x=31,m=423,a=315,s=1698}
{x=174,m=907,a=49,s=122}
{x=541,m=15,a=242,s=2732}
{x=1552,m=95,a=350,s=1981}
{x=741,m=981,a=3076,s=2421}
{x=849,m=166,a=1512,s=1803}
{x=13,m=1454,a=146,s=2150}
{x=957,m=67,a=56,s=360}
{x=243,m=368,a=1375,s=878}
{x=890,m=274,a=421,s=83}
{x=474,m=87,a=2601,s=767}
{x=993,m=106,a=3272,s=1520}
{x=102,m=295,a=545,s=2670}
{x=2084,m=1274,a=2583,s=1055}
{x=1440,m=57,a=2201,s=1181}
{x=189,m=4,a=515,s=3434}
{x=164,m=15,a=38,s=368}
{x=643,m=2265,a=1169,s=1196}
{x=133,m=323,a=36,s=737}
{x=1924,m=859,a=590,s=268}
{x=1308,m=668,a=627,s=64}
{x=1277,m=1203,a=2822,s=164}
{x=143,m=1445,a=1323,s=1941}
{x=876,m=577,a=159,s=2538}
{x=877,m=664,a=121,s=238}
{x=578,m=1677,a=99,s=825}
{x=94,m=697,a=629,s=786}
{x=1108,m=1064,a=5,s=597}
{x=416,m=2871,a=946,s=208}
{x=1055,m=20,a=1258,s=1102}
{x=85,m=144,a=1934,s=120}
{x=747,m=2995,a=841,s=809}
{x=205,m=94,a=959,s=1002}
{x=251,m=1836,a=475,s=381}
{x=363,m=765,a=187,s=536}
{x=1823,m=1509,a=361,s=1068}
{x=136,m=765,a=260,s=899}
{x=1752,m=178,a=310,s=227}
{x=318,m=617,a=1396,s=564}
{x=1371,m=196,a=2487,s=2149}
{x=2723,m=926,a=1502,s=1746}
{x=146,m=448,a=181,s=2032}
{x=1501,m=2536,a=1073,s=476}
{x=850,m=900,a=29,s=2148}
{x=984,m=128,a=1750,s=1273}
{x=65,m=740,a=648,s=1147}
{x=660,m=1068,a=1249,s=1061}
{x=289,m=1612,a=710,s=1181}
{x=1872,m=258,a=1788,s=508}
{x=492,m=1178,a=125,s=618}
{x=849,m=1586,a=3172,s=1776}
{x=398,m=1499,a=737,s=645}
{x=115,m=227,a=154,s=622}
{x=415,m=505,a=388,s=338}
{x=104,m=1398,a=921,s=164}
{x=421,m=1201,a=3389,s=456}
{x=661,m=237,a=292,s=283}
{x=143,m=845,a=1391,s=1900}
{x=777,m=141,a=207,s=3834}
{x=780,m=927,a=62,s=430}
{x=2947,m=1361,a=5,s=50}
{x=3493,m=134,a=1163,s=2043}
{x=135,m=456,a=58,s=1093}
{x=1244,m=758,a=450,s=1089}
{x=290,m=2583,a=1692,s=1164}
{x=200,m=713,a=192,s=2113}
{x=1164,m=57,a=3464,s=2020}
{x=1023,m=137,a=1328,s=1460}
{x=612,m=597,a=101,s=427}
{x=2247,m=891,a=1224,s=2817}
{x=870,m=3099,a=1275,s=305}
{x=2099,m=1353,a=1867,s=55}
{x=264,m=153,a=2560,s=1307}
{x=274,m=125,a=167,s=27}
{x=208,m=88,a=1676,s=1450}
{x=5,m=161,a=3312,s=1403}
{x=2294,m=1021,a=4,s=1766}
{x=2683,m=91,a=441,s=2454}
{x=503,m=1775,a=492,s=2809}
{x=517,m=19,a=609,s=1051}
{x=603,m=313,a=211,s=2889}
{x=1663,m=342,a=1651,s=1501}
{x=305,m=1190,a=232,s=1049}
{x=3469,m=86,a=883,s=1897}
{x=654,m=1526,a=741,s=186}
{x=2611,m=959,a=541,s=1131}
{x=3122,m=827,a=1701,s=1953}
{x=594,m=1973,a=475,s=191}
{x=134,m=1169,a=125,s=554}
{x=4,m=401,a=176,s=3228}
{x=2978,m=7,a=309,s=3088}
{x=1187,m=2241,a=221,s=185}
{x=666,m=1214,a=144,s=197}
{x=176,m=30,a=208,s=3302}
{x=1581,m=2530,a=596,s=244}
{x=1264,m=1345,a=16,s=53}
{x=122,m=424,a=2194,s=3612}
{x=859,m=7,a=8,s=2258}
{x=1346,m=211,a=113,s=34}
{x=663,m=1448,a=2323,s=1344}
{x=112,m=141,a=708,s=2131}
{x=312,m=1345,a=1836,s=337}
{x=5,m=1556,a=1244,s=848}
{x=1589,m=233,a=21,s=933}
{x=2173,m=2390,a=180,s=864}
{x=1645,m=1798,a=773,s=297}
{x=3292,m=109,a=1124,s=613}
{x=482,m=1353,a=784,s=3347}
{x=1189,m=3164,a=1874,s=1053}
{x=495,m=431,a=831,s=35}
{x=686,m=915,a=1823,s=809}
{x=766,m=1004,a=1354,s=307}
{x=3352,m=1047,a=471,s=148}
{x=155,m=1449,a=997,s=345}
{x=117,m=93,a=1355,s=14}
{x=1710,m=1171,a=875,s=1402}
{x=1339,m=1068,a=2676,s=354}
{x=1306,m=29,a=1186,s=2010}
{x=179,m=532,a=581,s=1137}
{x=349,m=2778,a=1035,s=1522}
{x=1779,m=831,a=91,s=447}
